"""strain"" genes"	p value	FDR	CFT073	IAI1	K12	Sakai	Product
ydcZ	4.5E-08	1.0E-04	11.6	11.5	9.5	11.5	conserved hypothetical protein; putative inner membrane protein
yecD	6.2E-08	1.0E-04	11.9	11.2	9.4	11.5	putative hydrolase
yhbW	1.7E-07	1.9E-04	12.0	9.7	11.6	10.6	putative enzyme
ypdG	2.7E-07	2.2E-04	12.6	10.7	10.5	10.2	putative enzyme IIC component of PTS
yhiM	6.2E-07	4.0E-04	12.5	10.7	10.9	9.9	conserved hypothetical protein; putative inner membrane protein
qseC	7.3E-07	4.0E-04	11.1	10.5	9.9	12.5	sensory histidine kinase in two-component regulatory system with QseB
yibQ	9.2E-07	4.3E-04	11.9	11.4	9.5	11.2	putative polysaccharide deacetylase
rutE	1.1E-06	4.6E-04	12.1	11.5	10.8	9.6	oxidoreductase subunit of the alternative pyrimidine degradation pathway
yaaI	1.4E-06	5.0E-04	11.8	11.0	11.7	9.4	conserved hypothetical protein
mdtC	1.6E-06	5.2E-04	12.1	10.2	11.7	10.0	multidrug efflux system, subunit C
ypfI	1.9E-06	5.7E-04	11.3	11.9	11.4	9.4	putative hydrolase
ggt	2.4E-06	6.6E-04	11.8	9.4	11.7	11.1	fragment of gamma-glutamyltranspeptidase (partial)
rsxE	3.7E-06	8.7E-04	10.2	11.5	10.2	12.1	putative inner membrane NADH-quinone reductase
yfcJ	3.9E-06	8.7E-04	10.9	11.6	12.0	9.5	fragment of putative transporter; UPF0226 family (part 2)
eutT	4.0E-06	8.7E-04	11.8	11.4	11.4	9.4	putative cobalamin adenosyltransferase in ethanolamine utilization
yoaA	4.6E-06	8.7E-04	10.9	12.0	9.5	11.6	putative ATP-dependent helicase
baeS	4.8E-06	8.7E-04	11.9	10.2	9.9	12.0	sensory histidine kinase in two-component regulatory system with BaeR
yhjC	4.8E-06	8.7E-04	10.7	10.6	10.1	12.6	putative DNA-binding transcriptional regulator
frmC	5.2E-06	9.0E-04	10.7	11.7	11.9	9.8	S-formylglutathione hydrolase
cusR	6.3E-06	1.0E-03	11.2	9.5	11.9	11.4	DNA-binding response regulator in two-component regulatory system with CusS
eutC	6.7E-06	1.0E-03	11.6	11.1	11.9	9.5	ethanolamine ammonia-lyase, small subunit (light chain)
dinG	6.7E-06	1.0E-03	12.5	11.0	10.4	10.1	ATP-dependent DNA helicase
creC	7.9E-06	1.1E-03	11.3	11.1	12.1	9.5	sensory histidine kinase in two-component regulatory system with CreB or PhoB, regulator of the CreBC regulon
